C,Kj/kgK,Pas
0,4.216,0.00175
4.44,4.204,0.00155
10,4.195,0.0013
15.6,4.187,0.00113
21.1,4.183,0.000977
26.7,4.179,0.000847
32.2,4.179,0.000766
37.8,4.179,0.00068
43.3,4.183,0.000603
48.9,4.183,0.000546
54.4,4.183,0.000503
60,4.183,0.00046
65.6,4.187,0.000426
71.1,4.191,0.000397
76.7,4.195,0.000369
82.2,4.2,0.000345
87.8,4.204,0.000326
93.3,4.208,0.000299
100,4.2157,0.0002816
